orderid,OrderDate,UserId,TotalCharges,CommonId,PupId,PickupDate
262,2009-01-11,47,50.67,TRQKD,2,2009-01-12
278,2009-01-20,47,26.6,4HH2S,3,2009-01-20
294,2009-02-03,47,38.71,3TRDC,2,2009-02-04
301,2009-02-06,47,53.38,NGAZJ,2,2009-02-09
302,2009-02-06,47,14.28,FFYHD,2,2009-02-09
321,2009-02-17,47,29.5,HA5R3,3,2009-02-17
333,2009-02-23,47,18.91,RSXQG,2,2009-02-23
341,2009-03-01,47,64.41,KHBDJ,3,2009-03-03
353,2009-03-09,47,18.03,T7SUN,3,2009-03-10
373,2009-03-17,47,25.55,KMF5X,3,2009-03-17
376,2009-03-17,47,13.64,R57V3,3,2009-03-19
386,2009-03-24,47,47.83,CSH73,3,2009-03-24
398,2009-03-31,47,42.14,3VYSW,3,2009-03-31
431,2009-04-14,47,21.73,XG5NT,3,2009-04-14
441,2009-04-16,47,21.73,JKME3,3,2009-04-16
467,2009-04-23,47,17.97,WVGR5,3,2009-04-23
493,2009-04-28,47,28.85,ARYQJ,3,2009-04-28
494,2009-04-28,47,7.15,QAM9C,3,2009-04-28
517,2009-05-01,47,57.75,CGHAJ,5,2009-05-01
525,2009-05-04,47,40.98,MCDJE,3,2009-05-05
567,2009-05-12,47,14.93,NPVQQ,3,2009-05-14
575,2009-05-14,47,14.32,2T727,3,2009-05-14
598,2009-05-19,47,40.76,ZNDAZ,3,2009-05-19
635,2009-05-26,47,83.41,V8TCD,3,2009-05-26
664,2009-06-01,47,47.39,N2MN4,3,2009-06-02
688,2009-06-05,47,16.76,SQ7AG,5,2009-06-05
720,2009-06-12,47,26.71,VVJMZ,3,2009-06-16
732,2009-06-16,47,18.66,NHPKJ,3,2009-06-16
775,2009-06-23,47,46.65,YGFQ6,4,2009-06-23
828,2009-07-02,47,20.27,XJMBR,6,2009-07-02
838,2009-07-06,47,44.88,J23JH,3,2009-07-07
848,2009-07-08,47,17.61,%%848,6,2009-07-09
878,2009-07-13,47,23.15,VLQ77,3,2009-07-14
916,2009-07-19,47,71.09,F72ZW,4,2009-07-21
947,2009-07-24,47,50.66,3TP9K,5,2009-07-24
978,2009-07-30,47,69.11,DBZ6E,4,2009-07-30
979,2009-07-30,47,41,58SYL,4,2009-07-30
1033,2009-08-10,47,51.42,CM6L8,4,2009-08-11
1034,2009-08-10,47,14.76,HVXWJ,4,2009-08-11
1037,2009-08-10,47,15.64,AEBZD,4,2009-08-11
1075,2009-08-18,47,12.96,JHBNK,4,2009-08-18
1111,2009-08-25,47,50.29,2GGH5,4,2009-08-25
1112,2009-08-25,47,4.09,NLKBN,4,2009-08-25
1119,2009-08-25,47,3.08,9N4VG,4,2009-08-25
1152,2009-08-28,47,66.25,ZZU7D,5,2009-08-28
1154,2009-08-28,47,7.56,2JMWF,5,2009-08-28
1168,2009-09-02,47,70.13,6NXDE,4,2009-09-03
1179,2009-09-03,47,12.27,6APEY,6,2009-09-03
1197,2009-09-07,47,106.89,AAN8Z,4,2009-09-08
