Date,Close,Open,High,Low,Volume,Code,Company,Up&Down,Rate
2005-04-27,925,920,945,890,452530,026890,디피씨,0.0,0.0
2005-04-28,900,910,930,880,130220,026890,디피씨,-25.0,-2.7027027027027026
2005-04-29,870,870,890,850,136610,026890,디피씨,-30.0,-3.3333333333333335
2005-05-02,865,870,895,860,86460,026890,디피씨,-5.0,-0.5747126436781609
2005-05-03,860,840,890,840,161039,026890,디피씨,-5.0,-0.5780346820809248
2005-05-04,875,860,880,855,94930,026890,디피씨,15.0,1.744186046511628
2005-05-06,885,885,890,870,50740,026890,디피씨,10.0,1.1428571428571428
2005-05-09,850,870,880,845,144045,026890,디피씨,-35.0,-3.954802259887006
2005-05-10,845,855,860,835,80440,026890,디피씨,-5.0,-0.5882352941176471
2005-05-11,840,835,860,835,100000,026890,디피씨,-5.0,-0.591715976331361
2005-05-12,875,835,890,835,184510,026890,디피씨,35.0,4.166666666666666
2005-05-13,860,895,895,860,93970,026890,디피씨,-15.0,-1.7142857142857144
2005-05-16,865,870,875,830,98150,026890,디피씨,5.0,0.5813953488372093
2005-05-17,860,850,880,850,33780,026890,디피씨,-5.0,-0.5780346820809248
2005-05-18,840,865,870,805,91770,026890,디피씨,-20.0,-2.3255813953488373
2005-05-19,880,840,885,840,188810,026890,디피씨,40.0,4.761904761904762
2005-05-20,915,895,915,880,196870,026890,디피씨,35.0,3.977272727272727
2005-05-23,890,915,940,890,94010,026890,디피씨,-25.0,-2.73224043715847
2005-05-24,900,890,915,890,160761,026890,디피씨,10.0,1.1235955056179776
2005-05-25,910,910,910,890,189750,026890,디피씨,10.0,1.1111111111111112
2005-05-26,930,910,935,905,241325,026890,디피씨,20.0,2.197802197802198
2005-05-27,1035,930,1060,930,823860,026890,디피씨,105.0,11.29032258064516
2005-05-30,1020,1040,1050,990,260222,026890,디피씨,-15.0,-1.4492753623188406
2005-05-31,1020,1025,1035,1005,318321,026890,디피씨,0.0,0.0
2005-06-01,1015,1020,1100,1005,352305,026890,디피씨,-5.0,-0.49019607843137253
2005-06-02,1020,1035,1040,970,347850,026890,디피씨,5.0,0.49261083743842365
2005-06-03,1030,1020,1035,1005,245395,026890,디피씨,10.0,0.9803921568627451
2005-06-07,1050,1030,1070,1000,303210,026890,디피씨,20.0,1.9417475728155338
2005-06-08,1205,1040,1205,1040,1083120,026890,디피씨,155.0,14.761904761904763
2005-06-09,1285,1290,1370,1235,1294700,026890,디피씨,80.0,6.639004149377594
2005-06-10,1305,1305,1310,1230,721933,026890,디피씨,20.0,1.556420233463035
2005-06-13,1260,1290,1320,1255,351561,026890,디피씨,-45.0,-3.4482758620689653
2005-06-14,1210,1270,1295,1170,496510,026890,디피씨,-50.0,-3.968253968253968
2005-06-15,1235,1230,1235,1180,289740,026890,디피씨,25.0,2.066115702479339
2005-06-16,1235,1245,1250,1220,99220,026890,디피씨,0.0,0.0
2005-06-17,1230,1235,1240,1195,216160,026890,디피씨,-5.0,-0.4048582995951417
2005-06-20,1265,1240,1280,1230,212823,026890,디피씨,35.0,2.8455284552845526
2005-06-21,1275,1285,1350,1265,889970,026890,디피씨,10.0,0.7905138339920948
2005-06-22,1230,1295,1295,1210,243048,026890,디피씨,-45.0,-3.5294117647058822
2005-06-23,1245,1220,1270,1210,435552,026890,디피씨,15.0,1.2195121951219512
2005-06-24,1245,1230,1255,1220,144200,026890,디피씨,0.0,0.0
2005-06-27,1195,1210,1235,1180,173120,026890,디피씨,-50.0,-4.016064257028113
2005-06-28,1190,1190,1210,1125,218260,026890,디피씨,-5.0,-0.41841004184100417
2005-06-29,1235,1190,1235,1175,142702,026890,디피씨,45.0,3.7815126050420167
2005-06-30,1240,1205,1240,1205,141180,026890,디피씨,5.0,0.4048582995951417
2005-07-01,1320,1260,1335,1245,339330,026890,디피씨,80.0,6.451612903225806
2005-07-04,1315,1320,1335,1280,159910,026890,디피씨,-5.0,-0.3787878787878788
2005-07-05,1280,1330,1330,1280,142490,026890,디피씨,-35.0,-2.6615969581749046
2005-07-06,1310,1280,1310,1275,145620,026890,디피씨,30.0,2.34375
2005-07-07,1400,1310,1440,1300,450100,026890,디피씨,90.0,6.870229007633588
2005-07-08,1390,1420,1440,1370,244280,026890,디피씨,-10.0,-0.7142857142857143
2005-07-11,1420,1410,1470,1410,185965,026890,디피씨,30.0,2.158273381294964
2005-07-12,1465,1420,1550,1420,670180,026890,디피씨,45.0,3.169014084507042
2005-07-13,1495,1470,1505,1470,83860,026890,디피씨,30.0,2.04778156996587
2005-07-14,1470,1475,1505,1460,172800,026890,디피씨,-25.0,-1.6722408026755853
2005-07-15,1490,1490,1515,1460,119220,026890,디피씨,20.0,1.3605442176870748
2005-07-18,1445,1500,1545,1400,263240,026890,디피씨,-45.0,-3.0201342281879198
2005-07-19,1445,1415,1450,1360,305300,026890,디피씨,0.0,0.0
2005-07-20,1440,1450,1475,1410,267680,026890,디피씨,-5.0,-0.34602076124567477
2005-07-21,1600,1440,1655,1440,855950,026890,디피씨,160.0,11.11111111111111
2005-07-22,1605,1575,1625,1510,295830,026890,디피씨,5.0,0.3125
2005-07-25,1630,1605,1650,1590,270583,026890,디피씨,25.0,1.557632398753894
2005-07-26,1670,1605,1670,1580,294897,026890,디피씨,40.0,2.4539877300613497
2005-07-27,1700,1650,1740,1625,450830,026890,디피씨,30.0,1.7964071856287425
2005-07-28,1730,1700,1755,1700,423161,026890,디피씨,30.0,1.7647058823529411
2005-07-29,1685,1750,1750,1685,189160,026890,디피씨,-45.0,-2.601156069364162
2005-08-01,1630,1665,1680,1615,133530,026890,디피씨,-55.0,-3.2640949554896146
2005-08-02,1630,1615,1640,1580,195778,026890,디피씨,0.0,0.0
2005-08-03,1605,1645,1680,1600,154400,026890,디피씨,-25.0,-1.5337423312883436
2005-08-04,1650,1605,1650,1550,292800,026890,디피씨,45.0,2.803738317757009
2005-08-05,1610,1620,1650,1570,255890,026890,디피씨,-40.0,-2.4242424242424243
2005-08-08,1590,1565,1610,1555,131881,026890,디피씨,-20.0,-1.2422360248447204
2005-08-09,1620,1590,1630,1560,127520,026890,디피씨,30.0,1.8867924528301887
2005-08-10,1635,1645,1650,1620,74163,026890,디피씨,15.0,0.9259259259259258
2005-08-11,1635,1610,1640,1610,52206,026890,디피씨,0.0,0.0
2005-08-12,1635,1635,1695,1600,212640,026890,디피씨,0.0,0.0
2005-08-16,1600,1685,1685,1570,124460,026890,디피씨,-35.0,-2.1406727828746175
2005-08-17,1550,1560,1640,1520,262100,026890,디피씨,-50.0,-3.125
2005-08-18,1430,1530,1565,1430,174730,026890,디피씨,-120.0,-7.741935483870968
2005-08-19,1370,1430,1450,1330,288020,026890,디피씨,-60.0,-4.195804195804196
2005-08-22,1370,1370,1400,1360,190111,026890,디피씨,0.0,0.0
2005-08-23,1375,1370,1450,1360,191430,026890,디피씨,5.0,0.36496350364963503
2005-08-24,1315,1370,1420,1315,225941,026890,디피씨,-60.0,-4.363636363636364
2005-08-25,1315,1300,1350,1300,177786,026890,디피씨,0.0,0.0
2005-08-26,1380,1300,1415,1300,186550,026890,디피씨,65.0,4.942965779467681
2005-08-29,1355,1330,1380,1320,116300,026890,디피씨,-25.0,-1.8115942028985508
2005-08-30,1330,1345,1380,1325,85450,026890,디피씨,-25.0,-1.8450184501845017
2005-08-31,1350,1300,1390,1300,44420,026890,디피씨,20.0,1.5037593984962405
2005-09-01,1430,1400,1430,1380,126241,026890,디피씨,80.0,5.9259259259259265
2005-09-02,1425,1395,1440,1395,134870,026890,디피씨,-5.0,-0.34965034965034963
2005-09-05,1400,1445,1445,1400,86470,026890,디피씨,-25.0,-1.7543859649122806
2005-09-06,1395,1400,1435,1370,184460,026890,디피씨,-5.0,-0.35714285714285715
2005-09-07,1440,1405,1460,1395,187140,026890,디피씨,45.0,3.225806451612903
2005-09-08,1425,1455,1470,1425,50320,026890,디피씨,-15.0,-1.0416666666666665
2005-09-09,1450,1425,1450,1400,65410,026890,디피씨,25.0,1.7543859649122806
2005-09-12,1535,1480,1620,1450,333780,026890,디피씨,85.0,5.862068965517241
2005-09-13,1555,1535,1560,1530,204680,026890,디피씨,20.0,1.3029315960912053
2005-09-14,1555,1555,1580,1530,164470,026890,디피씨,0.0,0.0
2005-09-15,1535,1575,1575,1525,129520,026890,디피씨,-20.0,-1.2861736334405145
2005-09-16,1520,1520,1560,1480,165950,026890,디피씨,-15.0,-0.9771986970684038
2005-09-20,1490,1535,1540,1455,249470,026890,디피씨,-30.0,-1.9736842105263157
2005-09-21,1485,1470,1505,1450,139940,026890,디피씨,-5.0,-0.33557046979865773
2005-09-22,1380,1455,1480,1375,313130,026890,디피씨,-105.0,-7.07070707070707
2005-09-23,1350,1360,1380,1300,198040,026890,디피씨,-30.0,-2.1739130434782608
2005-09-26,1350,1380,1380,1320,100800,026890,디피씨,0.0,0.0
2005-09-27,1340,1350,1370,1330,92390,026890,디피씨,-10.0,-0.7407407407407408
2005-09-28,1380,1335,1380,1325,216160,026890,디피씨,40.0,2.9850746268656714
2005-09-29,1400,1400,1415,1375,220340,026890,디피씨,20.0,1.4492753623188406
2005-09-30,1410,1400,1420,1380,284810,026890,디피씨,10.0,0.7142857142857143
2005-10-04,1500,1400,1525,1400,345700,026890,디피씨,90.0,6.382978723404255
2005-10-05,1470,1485,1510,1470,242060,026890,디피씨,-30.0,-2.0
2005-10-06,1455,1480,1480,1415,162750,026890,디피씨,-15.0,-1.0204081632653061
2005-10-07,1460,1500,1500,1440,113750,026890,디피씨,5.0,0.3436426116838488
2005-10-10,1480,1460,1485,1440,132526,026890,디피씨,20.0,1.36986301369863
2005-10-11,1510,1495,1515,1465,231494,026890,디피씨,30.0,2.027027027027027
2005-10-12,1550,1535,1565,1515,346630,026890,디피씨,40.0,2.6490066225165565
2005-10-13,1550,1520,1550,1505,206650,026890,디피씨,0.0,0.0
2005-10-14,1565,1570,1590,1545,513070,026890,디피씨,15.0,0.967741935483871
2005-10-17,1510,1530,1570,1480,439020,026890,디피씨,-55.0,-3.5143769968051117
2005-10-18,1510,1480,1520,1465,192083,026890,디피씨,0.0,0.0
2005-10-19,1510,1500,1515,1450,201250,026890,디피씨,0.0,0.0
2005-10-20,1490,1510,1510,1465,98940,026890,디피씨,-20.0,-1.3245033112582782
2005-10-21,1505,1435,1505,1435,97310,026890,디피씨,15.0,1.006711409395973
2005-10-24,1525,1485,1545,1485,132760,026890,디피씨,20.0,1.3289036544850499
2005-10-25,1540,1545,1580,1500,241569,026890,디피씨,15.0,0.9836065573770493
2005-10-26,1535,1540,1580,1520,52420,026890,디피씨,-5.0,-0.3246753246753247
2005-10-27,1490,1535,1535,1480,349410,026890,디피씨,-45.0,-2.9315960912052117
2005-10-28,1430,1495,1495,1410,125920,026890,디피씨,-60.0,-4.026845637583892
2005-10-31,1425,1440,1465,1410,97690,026890,디피씨,-5.0,-0.34965034965034963
2005-11-01,1440,1425,1445,1400,131520,026890,디피씨,15.0,1.0526315789473684
2005-11-02,1445,1415,1485,1415,76970,026890,디피씨,5.0,0.3472222222222222
2005-11-03,1485,1460,1485,1440,188450,026890,디피씨,40.0,2.768166089965398
2005-11-04,1470,1480,1495,1440,149260,026890,디피씨,-15.0,-1.0101010101010102
2005-11-07,1465,1470,1470,1440,88220,026890,디피씨,-5.0,-0.3401360544217687
2005-11-08,1460,1480,1480,1445,141520,026890,디피씨,-5.0,-0.3412969283276451
2005-11-09,1500,1465,1510,1460,338670,026890,디피씨,40.0,2.73972602739726
2005-11-10,1725,1600,1725,1600,422800,026890,디피씨,225.0,15.0
2005-11-11,1950,1980,1980,1800,6448661,026890,디피씨,225.0,13.043478260869565
2005-11-14,1990,1990,2025,1895,2262473,026890,디피씨,40.0,2.051282051282051
2005-11-15,1880,1965,2030,1850,2425420,026890,디피씨,-110.0,-5.527638190954774
2005-11-16,1900,1865,1960,1765,2398090,026890,디피씨,20.0,1.0638297872340425
2005-11-17,2065,1915,2085,1880,2083850,026890,디피씨,165.0,8.68421052631579
2005-11-18,2010,2095,2130,1985,1608710,026890,디피씨,-55.0,-2.663438256658596
2005-11-21,1910,2035,2045,1870,1358780,026890,디피씨,-100.0,-4.975124378109453
2005-11-22,1885,1875,1915,1835,1039829,026890,디피씨,-25.0,-1.3089005235602094
2005-11-23,1970,1895,2050,1865,1722860,026890,디피씨,85.0,4.509283819628647
2005-11-24,2030,2010,2190,2010,1741930,026890,디피씨,60.0,3.0456852791878175
2005-11-25,2135,2050,2140,2005,1017178,026890,디피씨,105.0,5.172413793103448
2005-11-28,2080,2195,2250,2065,1296929,026890,디피씨,-55.0,-2.576112412177986
2005-11-29,1850,2010,2070,1850,1805804,026890,디피씨,-230.0,-11.057692307692307
2005-11-30,1780,1870,1920,1755,910099,026890,디피씨,-70.0,-3.783783783783784
2005-12-01,1760,1780,1805,1695,1656791,026890,디피씨,-20.0,-1.1235955056179776
2005-12-02,1805,1780,1835,1765,1109470,026890,디피씨,45.0,2.556818181818182
2005-12-05,1715,1795,1810,1715,996544,026890,디피씨,-90.0,-4.986149584487535
2005-12-06,1690,1720,1750,1685,1032517,026890,디피씨,-25.0,-1.4577259475218658
2005-12-07,1710,1705,1745,1670,1183203,026890,디피씨,20.0,1.183431952662722
2005-12-08,1795,1715,1810,1685,2057214,026890,디피씨,85.0,4.970760233918129
2005-12-09,1730,1780,1800,1730,970918,026890,디피씨,-65.0,-3.6211699164345403
2005-12-12,1660,1700,1740,1645,962604,026890,디피씨,-70.0,-4.046242774566474
2005-12-13,1620,1675,1675,1615,595286,026890,디피씨,-40.0,-2.4096385542168677
2005-12-14,1635,1625,1660,1600,943225,026890,디피씨,15.0,0.9259259259259258
2005-12-15,1615,1640,1640,1610,638867,026890,디피씨,-20.0,-1.2232415902140672
2005-12-16,1515,1595,1595,1485,605600,026890,디피씨,-100.0,-6.191950464396285
2005-12-19,1525,1485,1530,1475,471446,026890,디피씨,10.0,0.6600660066006601
2005-12-20,1590,1510,1610,1510,504397,026890,디피씨,65.0,4.2622950819672125
2005-12-21,1710,1590,1800,1580,991560,026890,디피씨,120.0,7.547169811320755
2005-12-22,1670,1750,1775,1630,581190,026890,디피씨,-40.0,-2.3391812865497075
2005-12-23,1725,1640,1740,1600,454953,026890,디피씨,55.0,3.293413173652695
2005-12-26,1720,1740,1755,1685,255038,026890,디피씨,-5.0,-0.2898550724637681
2005-12-27,1680,1685,1715,1630,412909,026890,디피씨,-40.0,-2.3255813953488373
2005-12-28,1680,1685,1705,1650,148422,026890,디피씨,0.0,0.0
2005-12-29,1695,1660,1710,1630,244122,026890,디피씨,15.0,0.8928571428571428
2006-01-02,1725,1710,1740,1600,339210,026890,디피씨,30.0,1.7699115044247788
2006-01-03,1790,1740,1800,1720,612454,026890,디피씨,65.0,3.768115942028986
2006-01-04,1765,1820,1865,1765,454840,026890,디피씨,-25.0,-1.3966480446927374
2006-01-05,1615,1755,1780,1600,730204,026890,디피씨,-150.0,-8.498583569405099
2006-01-06,1585,1615,1645,1570,405580,026890,디피씨,-30.0,-1.8575851393188854
2006-01-09,1615,1590,1680,1590,631761,026890,디피씨,30.0,1.8927444794952681
2006-01-10,1610,1625,1660,1590,513712,026890,디피씨,-5.0,-0.30959752321981426
2006-01-11,1600,1600,1620,1570,446732,026890,디피씨,-10.0,-0.6211180124223602
2006-01-12,1620,1595,1640,1585,348310,026890,디피씨,20.0,1.25
2006-01-13,1615,1620,1645,1600,199390,026890,디피씨,-5.0,-0.30864197530864196
2006-01-16,1650,1600,1655,1600,267650,026890,디피씨,35.0,2.1671826625387
2006-01-17,1625,1670,1670,1625,233691,026890,디피씨,-25.0,-1.5151515151515151
2006-01-18,1530,1600,1620,1485,304420,026890,디피씨,-95.0,-5.846153846153846
2006-01-19,1500,1500,1545,1480,189543,026890,디피씨,-30.0,-1.9607843137254901
2006-01-20,1455,1530,1545,1410,300280,026890,디피씨,-45.0,-3.0
2006-01-23,1240,1375,1485,1240,421974,026890,디피씨,-215.0,-14.776632302405499
2006-01-24,1225,1200,1260,1070,269530,026890,디피씨,-15.0,-1.2096774193548387
2006-01-25,1270,1230,1315,1230,376739,026890,디피씨,45.0,3.6734693877551026
2006-01-26,1315,1255,1330,1245,233382,026890,디피씨,45.0,3.543307086614173
2006-01-27,1425,1315,1430,1315,200870,026890,디피씨,110.0,8.365019011406844
2006-01-31,1430,1410,1465,1395,178403,026890,디피씨,5.0,0.3508771929824561
2006-02-01,1370,1410,1425,1300,245210,026890,디피씨,-60.0,-4.195804195804196
2006-02-02,1390,1355,1395,1300,158901,026890,디피씨,20.0,1.4598540145985401
2006-02-03,1365,1330,1380,1330,85940,026890,디피씨,-25.0,-1.7985611510791366
2006-02-06,1345,1320,1390,1315,29040,026890,디피씨,-20.0,-1.465201465201465
2006-02-07,1385,1350,1390,1345,41930,026890,디피씨,40.0,2.973977695167286
2006-02-08,1305,1430,1430,1305,91231,026890,디피씨,-80.0,-5.776173285198556
2006-02-09,1340,1335,1360,1300,49307,026890,디피씨,35.0,2.681992337164751
2006-02-10,1350,1350,1370,1320,30449,026890,디피씨,10.0,0.7462686567164178
