book_title,book_author,book_translator,book_pub_date,book_isbn
러닝 리액트,"알렉스 뱅크스 , 이브 포셀로 ",오현석 ,2018-02-13,9791162240373
저는 차트분석이 처음인데요 최신개정판,강병욱 ,2018-01-22,344 쪽,3190
HOW TO WALK,틱낫한 ,진우기 ,2018-01-29,9791157842285
HOW TO RELAX,틱낫한 ,진우기 ,2018-01-29,9791157842261
HOW TO 시리즈(세트),틱낫한 ,진우기 ,2018-01-29,9791157842230
HOW TO EAT,틱낫한 ,진우기 ,2018-01-29,9791157842247
HOW TO LOVE,틱낫한 ,진우기 ,2018-01-29,9791157842254
러닝 HTTP/2,"스티븐 루딘 , 하비에르 가르사 ",강재준 ,2018-01-22,9791162240434
"IT CookBook, 소프트웨어 세상을 여는 컴퓨터 과학",김종훈 ,2018-01-26,376 쪽,4381
처음 배우는 딥러닝 수학,"와쿠이 요시유키 , 와쿠이 사다미 ",2018-02-01,268 쪽,10044
함수형 자바스크립트,루이스 아텐시오 ,이일웅 ,2018-02-01,9791162240427
HOW TO SIT,틱낫한 ,진우기 ,2018-01-29,9791157842278
생각하며 배우는 대학물리학,이기영 ,2018-02-02,632 쪽,4378
나도 손글씨 잘 쓰면 소원이 없겠네 [핸디 워크북],이호정(하오팅캘리) ,2018-02-01,160 쪽,20000
신프로의 쉽고 빠른 파워포인트 디자인,신프로(신강식) ,2018-02-05,290 쪽,10045
처음 시작하는 리액트 : UI를 위한 자바스크립트 라이브러리 ReactJS,"톰 핼럿 , 리차드 펠드만 , 시몬 회벡 , 칼 미켈슨 , 존 비비 , 프랑키 반야르디 ","김훈민 , 곽현철 ",2016-07-25,9788968487750
돌아온 여행자에게,란바이퉈 ,이현아 ,2018-02-05,9791157842322
맛있는 디자인 포토샵 CC 2018,"윤이사라(포완카) , 박효근 ",2018-02-05,512 쪽,10046
저는 차트분석이 처음인데요!,강병욱 ,2012-08-28,340 쪽,3049
쉽고 빠르게 합격하는 COS 2급,이연란 ,2018-02-12,324 쪽,4369
저는 기업분석이 처음인데요 (완전 개정판),강병욱 ,2016-09-28,424 쪽,3150
밑바닥부터 시작하는 딥러닝,사이토 고키 ,개앞맵시(이복연) ,2017-01-03,9788968484636
저는 주식투자가 처음인데요! 2탄,강병욱 ,2014-09-12,416 쪽,3099
딥러닝 첫걸음,김성필 ,2016-12-30,196 쪽,2732
"IT CookBook, Android Studio를 활용한 안드로이드 프로그래밍(개정3판)","우재남 , 박길식 ",2018-02-06,572 쪽,4383
러닝 자바스크립트,이선 브라운 ,한선용 ,2017-07-01,9788968483387
